aX,aY,aZ,gX,gY,gZ
-0.875,-0.370,1.718,-15.625,-79.407,-9.277
-0.916,-0.377,1.860,-18.127,-55.481,2.258
-0.937,-0.399,1.952,-25.024,-18.066,12.146
-0.890,-0.374,1.979,-44.922,32.532,24.292
-0.854,-0.311,1.862,-50.293,94.421,37.170
-0.827,-0.203,1.583,-36.194,152.832,50.720
-0.771,-0.095,1.305,-22.705,192.200,61.462
-0.730,-0.006,1.099,-16.113,211.121,66.223
-0.679,0.075,0.989,-16.235,212.158,65.125
-0.613,0.109,0.926,-14.893,200.500,59.265
-0.558,0.114,0.940,-12.329,181.396,52.185
-0.493,0.085,1.021,-21.729,165.100,44.800
-0.422,0.058,1.083,-29.480,158.081,39.429
-0.378,0.079,1.099,-32.776,159.668,38.147
-0.342,0.113,1.080,-24.902,162.781,39.917
-0.300,0.155,1.088,-12.695,161.743,41.992
-0.303,0.162,1.093,4.517,157.776,41.443
-0.330,0.177,1.102,5.615,157.532,38.269
-0.218,0.185,1.120,-8.057,162.964,32.532
-0.136,0.191,1.123,-12.146,170.471,25.513
-0.082,0.173,1.061,1.770,180.969,20.752
-0.052,0.196,0.964,4.761,193.909,19.531
0.009,0.226,0.869,-2.136,202.576,18.616